coiid,ecoclassidPES,mukey
627128,R018XY999CA,459930
635412,R018XI999CA,462315
637556,R018XI999CA,463239
640680,R018XC999CA,464182
640683,F018XC201CA,464183
637559,R018XI999CA,463240
640683,F018XC201CA,2370773
627131,R018XY999CA,459931
634897,F018XI201CA,462189
635417,R018XI999CA,462318
635419,R018XI999CA,462319
640686,F018XC201CA,464184
637562,R018XI106CA,463241
640690,R018XC999CA,464185
640690,R018XC999CA,2370774
634901,F018XI201CA,462190
635797,R018XI163CA,462529
634904,F018XI201CA,462191
635798,R018XI163CA,462530
635799,R018XI163CA,462531
640692,R018XC999CA,464186
640692,R018XC999CA,2370775
637565,R018XI106CA,463242
629045,R018XY999CA,460680
640694,R018XY999CA,464187
635800,R018XY999CA,462532
627144,R018XA999CA,459935
634908,F018XI207CA,462192
627146,R018XA999CA,459936
635424,F018XI201CA,462322
637569,R018XI999CA,463243
637576,R018XI999CA,463244
629048,R018XY999CA,460681
635802,R018XY999CA,462534
2280651,,464188
634911,R018XI999CA,462193
640699,R018XC999CA,464189
635429,F018XI201CA,462323
629051,R018XY999CA,460682
635435,F018XI200CA,462324
640705,R018XC999CA,464191
634915,F018XI205CA,462194
637196,R018XI163CA,462966
640707,R018XC999CA,464192
627780,F018XI201CA,460180
634918,F018XI205CA,462195
635436,R018XI999CA,462325
627149,R018XA999CA,459937
634921,F018XI205CA,462196
635437,F018XI201CA,462326
637842,R018XC105CA,463314
638160,R018XC105CA,463511
637856,R018XC999CA,463321
637859,R018XY999CA,463322
629053,R018XY999CA,460683
635438,F018XI200CA,462327
634925,F018XI205CA,462197
627782,F018XI201CA,460181
635440,R018XI999CA,462328
627152,R018XA999CA,459938
635442,R018XI999CA,462329
629054,R018XY999CA,460684
640712,R018XC999CA,464194
2280651,,463323
627785,F018XI205CA,460182
634928,F018XI205CA,462198
635444,F018XI201CA,462330
634928,F018XI205CA,1612053
634933,F018XI205CA,462199
635446,F018XI201CA,462331
627157,R018XA999CA,459939
629056,R018XA999CA,460685
635803,R018XI163CA,462535
640714,F018XC201CA,464195
640716,F018XC201CA,464196
640718,F018XC201CA,464197
640720,F018XC201CA,464198
627786,F018XI205CA,460183
634939,F018XI205CA,462200
635448,F018XI201CA,462332
635804,R018XI163CA,462536
640722,F018XC201CA,464199
640725,F018XC201CA,464200
640722,F018XC201CA,2370776
627788,F018XI205CA,460184
640727,F018XC201CA,464201
640727,F018XC201CA,2370777
635450,R018XI106CA,462333
640729,F018XC201CA,464202
2247850,R018XA999CA,460686
629066,R018XA999CA,460687
627790,F018XI201CA,0
640731,F018XC201CA,464203
635452,R018XI106CA,462334
640737,F018XC201CA,464204
640737,F018XC201CA,2370778
640739,F018XC201CA,464205
627792,F018XI201CA,460186
635455,F018XI207CA,462335
634944,F018XI200CA,462201
640741,F018XC201CA,464206
627795,F018XI201CA,460187
634949,R018XI999CA,462202
635458,F018XI201CA,462336
640743,F018XC201CA,464207
627798,R018XI106CA,460188
634955,F018XI200CA,462203
640746,F018XC201CA,464208
640746,F018XC201CA,2370780
640749,F018XC201CA,464209
629075,R018XA999CA,460689
634959,R018XI999CA,462204
640752,R018XC999CA,464210
640752,R018XC999CA,2370781
634961,R018XI999CA,462205
640756,F018XC201CA,464211
637198,R018XY999CA,462967
629086,R018XY999CA,460691
635805,R018XY999CA,462537
637199,R018XY999CA,462968
638161,R018XC105CA,463512
638162,R018XC105CA,463513
638164,R018XC105CA,463514
638166,R018XC105CA,463515
638175,R018XC105CA,463524
629089,R018XY999CA,460692
637200,R018XY999CA,462969
637580,R018XI999CA,463245
637584,R018XI999CA,463246
635807,R018XY999CA,462538
637202,R018XI999CA,462970
637866,R018XY999CA,463327
627164,R018XA999CA,459941
637587,F018XI205CA,463247
627168,R018XA999CA,459942
637590,R018XI999CA,463248
637868,R018XC999CA,463328
637598,R018XI106CA,463249
629092,R018XY999CA,460693
635809,R018XY999CA,462539
637204,R018XY999CA,462972
637846,R018XC105CA,463316
638215,R018XC105CA,463545
640762,R018XC105CA,464213
637604,R018XI999CA,463251
640764,R018XC105CA,464214
640766,R018XC105CA,464215
